Theme,Epic,User Story,Titre,Estimation,Priorité,Type,Capabilities,Dépendances,Nb dépendances,Nb dépendants
Écosystème & économique,Cartes cadeaux & Échanges,"En tant qu'utilisateur, je veux un système de liste de souhaits pour futures récompenses",Un système de liste de souhaits pour futures récompenses,M,Won't,Front + Back,giftcard;reward,Voir les cartes cadeaux disponibles,1,0
Écosystème & économique,Système de récompenses,"En tant qu'utilisateur, je veux gagner des récompenses pour mes découvertes",Gagner des récompenses pour mes découvertes,M,Must,Back,reward,,0,5
Écosystème & économique,Système de récompenses,"En tant qu'utilisateur, je veux des récompenses basées sur mon niveau d'activité",Des récompenses basées sur mon niveau d'activité,M,Should,Back,reward;gamification,Gagner des récompenses pour mes découvertes,1,0
Écosystème & économique,Système de récompenses,"En tant qu'utilisateur, je veux être récompensé pour la création de chasses populaires",Être récompensé pour la création de chasses populaires,M,Should,Back,reward;content-creation,Créer une chasse au trésor simple,1,0
Écosystème & économique,Système de récompenses,"En tant qu'utilisateur, je veux un système de récompenses progressives",Un système de récompenses progressives,M,Should,Back,reward;gamification,Gagner des récompenses pour mes découvertes,1,1
Écosystème & économique,Système de récompenses,"En tant qu'utilisateur, je veux recevoir des récompenses exclusives lors d'événements",Recevoir des récompenses exclusives lors d'événements,M,Could,Back,reward,Gagner des récompenses pour mes découvertes,1,0
Écosystème & économique,Système de récompenses,"En tant qu'utilisateur, je veux un catalogue des récompenses disponibles",Un catalogue des récompenses disponibles,S,Should,Front + Back,reward,Gagner des récompenses pour mes découvertes,1,1
Écosystème & économique,Système de récompenses,"En tant qu'utilisateur, je veux échanger des récompenses mineures contre de meilleures",Échanger des récompenses mineures contre de meilleures,L,Could,Front + Back,reward,Un catalogue des récompenses disponibles,1,0
Écosystème & économique,Système de récompenses,"En tant qu'utilisateur, je veux partager mes récompenses sur les réseaux sociaux",Partager mes récompenses sur les réseaux sociaux,S,Could,Front,reward;social,Recevoir une récompense pour ma connexion quotidienne;Lier mes réseaux sociaux à mon profil,2,0
Écosystème & économique,Système de récompenses,"En tant qu'utilisateur, je veux voir mon progression vers la prochaine récompense",Voir mon progression vers la prochaine récompense,M,Should,Front + Back,reward;gamification,Un système de récompenses progressives,1,0
Écosystème & économique,Système de récompenses,"En tant qu'utilisateur, je veux des défis spéciaux avec des récompenses uniques",Des défis spéciaux avec des récompenses uniques,L,Could,Front + Back,reward;gamification,Gagner des récompenses pour mes découvertes,1,0
Partenariats & Business,Dashboard partenaires,"En tant que partenaire, je veux voir les statistiques de mes chasses",Voir les statistiques de mes chasses,M,Should,Front + Back,partner;analytics;content-management,,0,5
Partenariats & Business,Dashboard partenaires,"En tant que partenaire, je veux analyser l'engagement des utilisateurs",Analyser l'engagement des utilisateurs,L,Should,Front + Back,partner;analytics,Voir les statistiques de mes chasses,1,0
Partenariats & Business,Dashboard partenaires,"En tant que partenaire, je veux suivre les conversions de mes promotions",Suivre les conversions de mes promotions,L,Could,Front + Back,partner;analytics;campaign,Voir les statistiques de mes chasses,1,0
Partenariats & Business,Dashboard partenaires,"En tant que partenaire, je veux personnaliser mon espace partenaire",Personnaliser mon espace partenaire,M,Could,Front,partner,,0,0
Partenariats & Business,Dashboard partenaires,"En tant que partenaire, je veux générer des rapports détaillés",Générer des rapports détaillés,L,Could,Front + Back,partner;analytics,Voir les statistiques de mes chasses,1,0
Partenariats & Business,Dashboard partenaires,"En tant que partenaire, je veux définir des objectifs mesurables",Définir des objectifs mesurables,M,Could,Front + Back,partner;analytics,,0,0
Partenariats & Business,Dashboard partenaires,"En tant que partenaire, je veux comparer mes performances avec des benchmarks",Compare mes performances avec des benchmarks,L,Won't,Front + Back,partner;analytics,Voir les statistiques de mes chasses,1,0
Partenariats & Business,Dashboard partenaires,"En tant que partenaire, je veux gérer mon équipe avec différents accès",Gérer mon équipe avec différents accès,L,Could,Front + Back,partner,,0,0
Partenariats & Business,Dashboard partenaires,"En tant que partenaire, je veux voir les données démographiques des participants",Voir les données démographiques des participants,L,Could,Front + Back,partner;analytics,,0,0
Partenariats & Business,Dashboard partenaires,"En tant que partenaire, je veux exporter mes données statistiques",Exporter mes données statistiques,M,Could,Front + Back,partner;analytics,Voir les statistiques de mes chasses,1,0
Partenariats & Business,Promotion & Acquisition utilisateurs,"En tant que partenaire, je veux créer des codes promotionnels",Créer des codes promotionnels,M,Should,Front + Back,campaign;partner,,0,3
Partenariats & Business,Promotion & Acquisition utilisateurs,"En tant que partenaire, je veux proposer des bonus aux nouveaux utilisateurs",Proposer des bonus aux nouveaux utilisateurs,M,Should,Front + Back,campaign;partner;reward,,0,0
Partenariats & Business,Promotion & Acquisition utilisateurs,"En tant que partenaire, je veux personnaliser une page d'atterrissage",Personnaliser une page d'atterrissage,L,Could,Front,campaign;partner,,0,0
Partenariats & Business,Promotion & Acquisition utilisateurs,"En tant que partenaire, je veux des outils de partage sur réseaux sociaux",Des outils de partage sur réseaux sociaux,M,Should,Front,campaign;partner;social,,0,0
Partenariats & Business,Promotion & Acquisition utilisateurs,"En tant que partenaire, je veux suivre l'origine des utilisateurs acquis",Suivre l'origine des utilisateurs acquis,L,Could,Front + Back,campaign;partner;analytics,Créer des codes promotionnels,1,0
Partenariats & Business,Promotion & Acquisition utilisateurs,"En tant que partenaire, je veux des modèles d'emails promotionnels",Des modèles d'emails promotionnels,M,Could,Front + Back,campaign;partner;notification,Créer des codes promotionnels,1,0
Partenariats & Business,Promotion & Acquisition utilisateurs,"En tant que partenaire, je veux organiser des événements spéciaux",Organiser des événements spéciaux,L,Could,Front + Back,campaign;partner,,0,0
Partenariats & Business,Promotion & Acquisition utilisateurs,"En tant que partenaire, je veux cibler des utilisateurs par zone géographique",Cibler des utilisateurs par zone géographique,M,Could,Front + Back,campaign;partner,,0,0
Partenariats & Business,Promotion & Acquisition utilisateurs,"En tant que partenaire, je veux des QR codes personnalisés pour mes promotions",Des QR codes personnalisés pour mes promotions,M,Could,Front + Back,campaign;partner,Créer des codes promotionnels,1,0
Partenariats & Business,Promotion & Acquisition utilisateurs,"En tant que partenaire, je veux créer des défis exclusifs pour ma marque",Créer des défis exclusifs pour ma marque,L,Won't,Front + Back,campaign;partner;gamification,,0,0
Partenariats & Business,Gestion des campagnes,"En tant que partenaire, je veux créer une campagne marketing liée à mes chasses",Créer une campagne marketing liée à mes chasses,L,Should,Front + Back,campaign;partner,,0,9
Partenariats & Business,Gestion des campagnes,"En tant que partenaire, je veux définir la durée de ma campagne",Définir la durée de ma campagne,S,Should,Front + Back,campaign;partner,Créer une campagne marketing liée à mes chasses,1,0
Partenariats & Business,Gestion des campagnes,"En tant que partenaire, je veux cibler des segments d'utilisateurs spécifiques",Cibler des segments d'utilisateurs spécifiques,L,Could,Front + Back,campaign;partner,Créer une campagne marketing liée à mes chasses,1,0
Partenariats & Business,Gestion des campagnes,"En tant que partenaire, je veux suivre les métriques de ma campagne en temps réel",Suivre les métriques de ma campagne en temps réel,L,Could,Front + Back,campaign;partner;analytics,Créer une campagne marketing liée à mes chasses,1,0
Partenariats & Business,Gestion des campagnes,"En tant que partenaire, je veux programmer des actions automatisées",Programmer des actions automatisées,L,Could,Back,campaign;partner,Créer une campagne marketing liée à mes chasses,1,0
Partenariats & Business,Gestion des campagnes,"En tant que partenaire, je veux personnaliser les messages de ma campagne",Personnaliser les messages de ma campagne,M,Should,Front + Back,campaign;partner;notification,Créer une campagne marketing liée à mes chasses,1,0
Partenariats & Business,Gestion des campagnes,"En tant que partenaire, je veux dupliquer une campagne existante",Dupliquer une campagne existante,M,Could,Front + Back,campaign;partner,Créer une campagne marketing liée à mes chasses,1,0
Partenariats & Business,Gestion des campagnes,"En tant que partenaire, je veux comparer les performances de différentes campagnes",Compare les performances de différentes campagnes,L,Won't,Front + Back,campaign;partner;analytics,Créer une campagne marketing liée à mes chasses,1,0
Partenariats & Business,Gestion des campagnes,"En tant que partenaire, je veux intégrer mes campagnes à mes autres outils marketing",Intégrer mes campagnes à mes autres outils marketing,XL,Won't,Back,campaign;partner,Créer une campagne marketing liée à mes chasses,1,0
Partenariats & Business,Gestion des campagnes,"En tant que partenaire, je veux recevoir des alertes sur les performances",Recevoir des alertes sur les performances,M,Could,Front + Back,campaign;partner;notification,Créer une campagne marketing liée à mes chasses,1,0
Partenariats & Business,Programme d'affiliation,"En tant qu'utilisateur, je veux devenir affilié",Devenir affilié,M,Won't,Front + Back,partner;social,,0,5
Partenariats & Business,Programme d'affiliation,"En tant qu'affilié, je veux générer des liens de parrainage",Générer des liens de parrainage,M,Could,Front + Back,partner;social,Devenir affilié,1,4
Partenariats & Business,Programme d'affiliation,"En tant qu'affilié, je veux suivre mes commissions",Suivre mes commissions,M,Won't,Front + Back,partner;analytics,Générer des liens de parrainage,1,1
Partenariats & Business,Programme d'affiliation,"En tant qu'affilié, je veux voir les statistiques de mes conversions",Voir les statistiques de mes conversions,L,Won't,Front + Back,partner;analytics,Générer des liens de parrainage,1,0
Partenariats & Business,Programme d'affiliation,"En tant qu'affilié, je veux recevoir des paiements pour mes commissions",Recevoir des paiements pour mes commissions,L,Won't,Back,partner;wallet,Générer des liens de parrainage;Voir mon solde de monnaie virtuelle;Suivre mes commissions,3,0
Partenariats & Business,Programme d'affiliation,"En tant qu'affilié, je veux des outils promotionnels personnalisés",Des outils promotionnels personnalisés,L,Won't,Front + Back,partner;campaign,Devenir affilié,1,0
Partenariats & Business,Programme d'affiliation,"En tant qu'affilié, je veux des niveaux progressifs dans le programme",Des niveaux progressifs dans le programme,L,Won't,Back,partner;gamification,Devenir affilié,1,0
Partenariats & Business,Programme d'affiliation,"En tant qu'affilié, je veux être notifié des nouvelles opportunités",Être notifié des nouvelles opportunités,M,Won't,Front + Back,partner;notification,Devenir affilié,1,0
Partenariats & Business,Programme d'affiliation,"En tant qu'utilisateur, je veux entrer un code de parrainage",Entrer un code de parrainage,S,Could,Front + Back,partner;social,Devenir affilié,1,0
Partenariats & Business,Programme d'affiliation,"En tant qu'affilié, je veux un tableau de bord dédié à mon activité",Un tableau de bord dédié à mon activité,L,Won't,Front + Back,partner;analytics,Générer des liens de parrainage,1,0
Partenariats & Business,Rapports de performance,"En tant que partenaire, je veux des rapports hebdomadaires automatiques",Des rapports hebdomadaires automatiques,L,Should,Back,analytics;partner,,0,1
Partenariats & Business,Rapports de performance,"En tant que partenaire, je veux visualiser les données avec des graphiques",Visualiser les données avec des graphiques,L,Should,Front,analytics;partner,,0,7
Partenariats & Business,Rapports de performance,"En tant que partenaire, je veux des analyses comparatives par période",Des analyses comparatives par période,L,Could,Front + Back,analytics;partner,Visualiser les données avec des graphiques,1,0
Partenariats & Business,Rapports de performance,"En tant que partenaire, je veux filtrer mes rapports selon différents critères",Filtrer mes rapports selon différents critères,L,Could,Front + Back,analytics;partner,Visualiser les données avec des graphiques,1,0
Partenariats & Business,Rapports de performance,"En tant que partenaire, je veux exporter mes rapports en différents formats",Exporter mes rapports en différents formats,M,Could,Front + Back,analytics;partner,Visualiser les données avec des graphiques,1,0
Partenariats & Business,Rapports de performance,"En tant que partenaire, je veux programmer l'envoi automatique de rapports",Programmer l'envoi automatique de rapports,M,Could,Back,analytics;partner,Des rapports hebdomadaires automatiques,1,0
Partenariats & Business,Rapports de performance,"En tant que partenaire, je veux des insights basés sur mes données",Des insights basés sur mes données,XL,Won't,Back,analytics;partner,Visualiser les données avec des graphiques,1,0
Partenariats & Business,Rapports de performance,"En tant que partenaire, je veux des suggestions d'optimisation basées sur mes performances",Des suggestions d'optimisation basées sur mes performances,XL,Won't,Back,analytics;partner,Visualiser les données avec des graphiques,1,0
Partenariats & Business,Rapports de performance,"En tant que partenaire, je veux personnaliser mes métriques clés",Personnaliser mes métriques clés,L,Could,Front + Back,analytics;partner,Visualiser les données avec des graphiques,1,0
Partenariats & Business,Rapports de performance,"En tant que partenaire, je veux partager mes rapports avec mon équipe",Partager mes rapports avec mon équipe,M,Could,Front + Back,analytics;partner;social,Visualiser les données avec des graphiques,1,0
